h,k,l,mag(G),S,I,d,2theta
-7,-5,3,8.944147251017966,(-39.80170461454149+8.142270491451775j),1650.4722589791795,0.07854200565113295,-4
-7,-5,4,9.313676499183844,2.2712178360378708e-13j,5.1584304587365486e-26,0.07243318298937818,-4
-7,-5,5,9.768266321338416,(-39.80170461454111-8.142270491451761j),1650.472258979149,0.06584834817216197,-4
-7,-5,6,10.296656788847876,2.3204501846170055e-13j,5.384489059289095e-26,0.05926351335494577,-4
-7,-4,-7,10.482197061995285,9.45682324426685e-15j,8.943150587330579e-29,0.05718409183371961,-4
-7,-4,-6,9.86644231900142,(7.415693619497383e-13-2.1316282072803006e-14j),5.503795024639492e-25,0.06454442048558451,-4
-7,-4,-5,9.313676499183844,1.9298810254505103e-13j,3.724440772393913e-26,0.07243318298937818,-4
-7,-4,-4,8.835729338221292,(-1.0515829087641188e-12+2.3447910280083306e-13j),1.1608070636550889e-24,0.0804813144326424,-4
-7,-4,-3,8.445313082103427,-1.9128560423311571e-13j,3.6590182386828174e-26,0.08809441174383832,-4
-7,-4,-2,8.15500890746159,(2.519529827661831e-13+7.105427357601002e-15j),6.35307926227107e-26,0.09447806476875413,177.56137103207942
-7,-4,-1,7.975756052964273,1.496970676895461e-13j,2.2409212074848548e-26,0.09877252225824296,155.8079832888551
-7,-4,0,7.915103035438158,(-3.4278529258996346e-13+6.750155989720952e-14j),1.220582174045434e-25,0.10029209952375438,152.03141164134075
-7,-4,1,7.975756052964273,3.226947247003648e-14j,1.0413188534944424e-27,0.09877252225824296,155.8079832888551
-7,-4,2,8.15500890746159,(2.796596894213354e-13+3.552713678800501e-14j),7.94717193355914e-26,0.09447806476875413,177.56137103207942
-7,-4,3,8.445313082103427,4.3518618599378595e-13j,1.8938701647981805e-25,0.08809441174383832,-4
-7,-4,4,8.835729338221292,(-7.938613421401502e-13+1.0658141036401503e-13j),6.415754275797432e-25,0.0804813144326424,-4
-7,-4,5,9.313676499183844,-4.842288856395557e-14j,2.344776136877259e-27,0.07243318298937818,-4
-7,-4,6,9.86644231900142,(9.030252484845137e-13+1.0658141036401503e-13j),8.268141964357002e-25,0.06454442048558451,-4
-7,-3,-7,10.15527721743456,(-39.80170461454178+8.142270491451718j),1650.4722589792016,0.06092510718732743,-4
-7,-3,-6,9.518397141883971,-1.0075787509590115e-13j,1.0152149393841218e-26,0.06935091988344717,-4
-7,-3,-5,8.944147251017966,(-39.80170461454144-8.142270491451633j),1650.4722589791738,0.07854200565113295,-4
