h,k,l,mag(G),S,I,d,2theta
-7,4,5,9.313676499183844,-1.2598196682581371e-14j,1.5871455965300426e-28,0.07243318298937818,-4
-7,4,6,9.86644231900142,(-5.2622277029867013e-14+1.1546319456101628e-14j),2.9024215327904206e-27,0.06454442048558451,-4
-7,5,-7,10.888108754032883,(-0.7439999999999728+12.222400000000002j),149.94059776,0.05299988999222793,-4
-7,5,-6,10.296656788847876,-8.013125478059767e-14j,6.4210179927130564e-27,0.05926351335494577,-4
-7,5,-5,9.768266321338416,(-0.7439999999999877-12.2224j),149.94059776,0.06584834817216197,-4
-7,5,-4,9.313676499183844,4.469803058464754e-14j,1.9979139381460867e-27,0.07243318298937818,-4
-7,5,-3,8.944147251017966,(-0.743999999999983+12.222400000000002j),149.94059776000003,0.07854200565113295,-4
-7,5,-2,8.670560954974183,-2.9639334628897e-14j,8.784901572437327e-28,0.08357674960312866,-4
-7,5,-1,8.502184519847894,(-0.7440000000000065-12.2224j),149.94059776000003,0.08691981958725381,-4
-7,5,0,8.445313082103427,1.3741008331180644e-14j,1.8881530995757587e-28,0.08809441174383832,-4
-7,5,1,8.502184519847894,(-0.7439999999999816+12.2224j),149.94059776,0.08691981958725381,-4
-7,5,2,8.670560954974183,-4.846855071932376e-15j,2.3492004088316594e-29,0.08357674960312866,-4
-7,5,3,8.944147251017966,(-0.7439999999999969-12.2224j),149.94059776000003,0.07854200565113295,-4
-7,5,4,9.313676499183844,-1.2428376968734712e-14j,1.5446455407697543e-28,0.07243318298937818,-4
-7,5,5,9.768266321338416,(-0.7439999999999988+12.2224j),149.94059776000003,0.06584834817216197,-4
-7,5,6,10.296656788847876,1.2149061545163368e-14j,1.4759969642816732e-28,0.05926351335494577,-4
-7,6,-7,11.36455130404981,3.309847710811329e-14j,1.0955091868762994e-27,0.04864915275405996,-4
-7,6,-6,10.799224746714913,(8.010429369222828e-14+0j),6.416697867930764e-27,0.05387592123176888,-4
-7,6,-5,10.296656788847876,-2.7123958818502508e-14j,7.357091419878199e-28,0.05926351335494577,-4
-7,6,-4,9.86644231900142,(-6.66128634969834e-14+2.398081733190338e-14j),5.012353183173859e-27,0.06454442048558451,-4
-7,6,-3,9.518397141883971,4.1243428488131323e-14j,1.7010203934556024e-27,0.06935091988344717,-4
-7,6,-2,9.261789318304295,(6.050574868312533e-14+1.1546319456101628e-14j),3.7942631166878726e-27,0.07324703897802287,-4
-7,6,-1,9.104353668013665,-3.3910352487747224e-14j,1.1499120058432644e-27,0.07580216824469808,-4
-7,6,0,9.051266605148696,(-6.865345341624442e-14+1.1546319456101628e-14j),4.846614158958793e-27,0.07669395845934159,-4
-7,6,1,9.104353668013665,3.273645657388706e-14j,1.0716755890139933e-27,0.07580216824469808,-4
-7,6,2,9.261789318304295,(6.789006406451216e-14+1.1546319456101628e-14j),4.7423782916659164e-27,0.07324703897802287,-4
-7,6,3,9.518397141883971,-4.0550971667060684e-14j,1.6443813031427585e-27,0.06935091988344717,-4
-7,6,4,9.86644231900142,(-6.661286349698338e-14+1.1546319456101628e-14j),4.570591076250091e-27,0.06454442048558451,-4
-7,6,5,10.296656788847876,2.8020042747918622e-14j,7.85122795595187e-28,0.05926351335494577,-4
-7,6,6,10.799224746714913,(6.483650665758314e-14+1.1546319456101628e-14j),4.3370900885411734e-27,0.05387592123176888,-4
-6,-7,-7,11.36455130404981,6.856051466412907e-15j,4.700544171010257e-29,0.04864915275405996,-4
-6,-7,-6,10.799224746714913,(7.494042436009176e-14+4.440892098500626e-16j),5.616264418496941e-27,0.05387592123176888,-4
-6,-7,-5,10.296656788847876,1.8306123467719657e-14j,3.351141564153964e-28,0.05926351335494577,-4
